tickers,Name,method,aic,aicc,bic,sigma,closePrice,lowGrowth,meanGrowth,highGrowth,predicted,highGrowthLim,lowGrowthLim
GNMSF,Genmab A/S,"ARIMA(3,1,2)",1761.89,1762.23,1783.16,55.45,287.1,-43.1,-1.9,39.3,285.2,326.4,244
GNNDY,Gn Store Nord A/S,"ARIMA(2,1,3)",1147.33,1147.67,1168.6,5.02,49.69,-12,0.24,12.48,49.93,62.16,37.69
GNRV,Grand River Commerce Inc,"ARIMA(0,1,1) with drift",-504.93,-504.83,-494.29,0.01,3.67,-0.54,-0.08,0.39,3.6,4.07,3.13
GNTLF,Genetic Technologies Ltd,"ARIMA(0,1,0)",-2104.5,-2104.48,-2100.95,0,0.06,-0.02,0,0.02,0.06,0.09,0.04
GPFT,"Grapefruit Usa, Inc","ARIMA(1,1,4)",-3015.35,-3015.01,-2994.08,0,0,0,0,0,0,0,0
GPLDF,Great Panther Mining Ltd,"ARIMA(3,1,2)",-1729.51,-1729.17,-1708.24,0,0,-0.04,0,0.04,0,0.04,-0.04
GRNF,Grn Holding Corp,"ARIMA(4,1,1)",-1009.81,-1009.47,-988.53,0,0.16,-0.12,0,0.12,0.16,0.28,0.04
GRUSF,Grown Rogue International Inc.,"ARIMA(0,1,3) with drift",-1503.1,-1502.86,-1485.37,0,0.29,-0.02,0.02,0.05,0.31,0.34,0.27
GSFI,Green Stream Holdings Inc.,"ARIMA(5,1,0)",-4470.51,-4470.17,-4449.23,0,0,0,0,0,0,0,0
GSPE,"Gulfslope Energy, Inc.","ARIMA(0,1,1)",-3125.35,-3125.3,-3118.26,0,0,0,0,0,0,0,0
GSTC,Globestar Therapeutics Corp,"ARIMA(1,1,1)",-2812.35,-2812.26,-2801.72,0,0,-0.01,0,0.01,0,0.01,0
GTCH,Gbt Technologies Inc.,"ARIMA(1,1,0)",-4060.51,-4060.46,-4053.42,0,0,0,0,0,0,0,0
GTMAY,Grupo Tmm Sab,"ARIMA(0,1,4)",-1085.47,-1085.23,-1067.75,0,0.46,-0.11,0.01,0.13,0.47,0.59,0.35
GTOR,"Ggtoor, Inc.","ARIMA(0,1,1)",-2936.91,-2936.87,-2929.82,0,0,0,0,0,0,0.01,0
GULTU,Gulf Coast Ultra Deep Royalty Trust,"ARIMA(0,1,1)",-2355.49,-2355.44,-2348.4,0,0.01,-0.01,0,0.01,0.01,0.02,0
GWAV,"Greenwave Technology Solutions, Inc.","ARIMA(5,1,0) with drift",-770.48,-770.03,-745.66,0,0.59,-0.25,-0.04,0.18,0.55,0.76,0.33
GWHP,Global Wholehealth Partners Corp,"ARIMA(3,1,2) with drift",-3620.33,-3619.88,-3595.51,0,0,0,0,0,0,0,0
GWSO,"Global Warming Solutions, Inc.","ARIMA(4,1,0)",-25.89,-25.65,-8.16,0.05,2.9,-1.51,0.07,1.65,2.97,4.55,1.39
GWTI,Greenway Technologies Inc,"ARIMA(0,1,0)",-2678.5,-2678.49,-2674.96,0,0.03,-0.01,0,0.01,0.03,0.03,0.02
GXSFF,Goldsource Mines Inc.,"ARIMA(0,1,5)",-1487.61,-1487.28,-1466.34,0,0.24,-0.07,-0.01,0.06,0.24,0.3,0.17
GXXY,"Galexxy Holdings, Inc.","ARIMA(3,1,0)",-1469.84,-1469.68,-1455.66,0,0.06,-0.07,0,0.07,0.06,0.13,-0.01
GYST,"Graystone Company, Inc.","ARIMA(1,1,2)",-2999.46,-2999.3,-2985.28,0,0,0,0,0,0.01,0.01,0
GZIC,Gz6G Technologies Corp.,"ARIMA(3,1,2)",-2645.39,-2645.05,-2624.12,0,0,-0.01,0,0.01,0,0.01,-0.01
HADV,Health Advance Inc.,"ARIMA(1,1,1)",-2932.89,-2932.8,-2922.26,0,0,0,0,0,0,0.01,0
HALB,Halberd Corp,"ARIMA(0,1,1)",-2954.04,-2953.99,-2946.95,0,0.01,0,0,0,0.01,0.01,0
HCCI,"Heritage-Crystal Clean, Inc.","ARIMA(0,1,1) with drift",518.83,518.92,529.47,0.44,45.51,-2.95,0.73,4.42,46.24,49.93,42.56
HDELY,Heidelbergcement Ag,"ARIMA(2,2,3)",-12.68,-12.35,8.56,0.05,14.45,-1.8,-0.15,1.51,14.3,15.96,12.65
HENC,Hero Technologies Inc.,"ARIMA(2,1,3)",-2408.36,-2408.02,-2387.09,0,0.01,-0.01,0,0.01,0.01,0.01,0
HGEN,"Humanigen, Inc","ARIMA(0,1,0)",-1494.37,-1494.35,-1490.82,0,0,-0.08,0,0.08,0,0.08,-0.08
HGLD,Patagonia Gold Corp.,"ARIMA(1,1,1)",-2111.86,-2111.77,-2101.23,0,0.01,-0.01,0,0.01,0,0.02,-0.01
HGYN,Hong Yuan Holding Group,"ARIMA(1,1,2)",-1470.94,-1470.78,-1456.76,0,0.04,-0.05,-0.01,0.04,0.03,0.08,-0.02
HITC,Healthcare Integrated Technologies Inc.,"ARIMA(5,1,0)",-1495.1,-1494.76,-1473.83,0,0.1,-0.05,0,0.05,0.1,0.15,0.05
HLCO,Healing Co Inc.,"ARIMA(2,1,3)",-110.42,-110.08,-89.15,0.04,1.95,-1.06,0.01,1.08,1.96,3.03,0.89
HLLK,"Hallmark Venture Group, Inc.","ARIMA(4,1,0)",-3555.42,-3555.18,-3537.69,0,0,0,0,0,0,0,0
HLRTF,Hillcrest Energy Technologies Ltd.,"ARIMA(4,1,0)",-1132.05,-1131.81,-1114.32,0,0.29,-0.1,0,0.1,0.29,0.39,0.19
HMLA,"Himalaya Technologies, Inc","ARIMA(0,1,2)",-3457.28,-3457.18,-3446.64,0,0,0,0,0,0,0,0
HMLPF,Hoegh Lng Partners Lp,"ARIMA(0,1,0)",472.52,472.53,476.06,0.37,13.99,-3.76,0,3.76,13.99,17.75,10.23
HMMR,Hammer Fiber Optics Holdings Corp,"ARIMA(1,1,0)",-1077.77,-1077.72,-1070.68,0,0.28,-0.17,0,0.17,0.28,0.45,0.12
HNOI,"Hno International, Inc.","ARIMA(0,1,3)",478.31,478.47,492.49,0.37,1.15,-3.92,0.02,3.97,1.17,5.12,-2.77
HRGN,"Harvard Apparatus Regenerative Technology, Inc.","ARIMA(5,1,0)",91.4,91.73,112.67,0.08,5.84,-1.31,0.01,1.33,5.85,7.17,4.53
HSCS,"Heart Test Laboratories, Inc.","ARIMA(1,1,4)",-210.46,-210.12,-189.19,0.02,0.25,-0.97,0,0.98,0.25,1.23,-0.72
HSTO,Histogen Inc.,"ARIMA(2,1,1)",-694.37,-694.21,-680.19,0,0.32,-0.17,0.11,0.4,0.43,0.72,0.15
HTGMQ,"Htg Molecular Diagnostics, Inc","ARIMA(0,1,4) with drift",436.05,436.39,457.32,0.31,0,-2.6,-0.62,1.35,-0.62,1.35,-2.6
HVCW,Harrison Vickers & Waterman Inc,"ARIMA(5,1,0)",-4430.28,-4429.94,-4409,0,0,0,0,0,0,0,0
HWNI,"High Wire Networks, Inc.","ARIMA(0,1,1)",-1734.07,-1734.02,-1726.98,0,0.08,-0.03,0,0.03,0.08,0.11,0.05
HYSR,"Sunhydrogen, Inc.","ARIMA(0,1,2)",-2685.53,-2685.43,-2674.89,0,0.01,-0.01,0,0.01,0.01,0.02,0.01
IAALF,Ibc Advanced Alloys Corp.,"ARIMA(4,1,0) with drift",-1819.31,-1818.97,-1798.04,0,0.04,-0.03,0,0.02,0.04,0.06,0.01
IBTN,Inscorp Inc,"ARIMA(0,1,0)",224.33,224.34,227.87,0.14,18.3,-2.32,0,2.32,18.3,20.62,15.98
ICNB,"Iconic Brands, Inc.","ARIMA(3,1,1) with drift",-1781.45,-1781.11,-1760.18,0,0,-0.04,-0.01,0.02,-0.01,0.02,-0.04
IDWM,"Idw Media Holdings, Inc.","ARIMA(0,1,2) with drift",-828.77,-828.62,-814.59,0,0.56,-0.25,-0.06,0.13,0.5,0.69,0.31
IGEN,Igen Networks Corp,"ARIMA(0,1,1)",-3810.5,-3810.45,-3803.41,0,0,0,0,0,0,0,0
IHICY,Ihi Corporation/Adr,"ARIMA(0,1,0)",-272.4,-272.38,-268.85,0.02,4.74,-0.88,0,0.88,4.74,5.62,3.87
ILUS,Ilustrato Pictures International Inc.,"ARIMA(2,1,1) with drift",-2351.02,-2350.78,-2333.3,0,0.01,-0.01,0,0.01,0.01,0.02,0
IMHC,Imperalis Holding Corp.,"ARIMA(5,1,0)",-1240.02,-1239.68,-1218.75,0,0.01,-0.09,0,0.09,0.01,0.11,-0.08
IMII,Inception Mining Inc.,"ARIMA(1,0,1) with non-zero mean",-3612.67,-3612.51,-3598.47,0,0,0,0,0,0,0,0
IMPL,Impel Pharmaceuticals Inc,"ARIMA(2,1,3)",-290.85,-290.51,-269.57,0.02,0.22,-1.13,0,1.13,0.22,1.36,-0.91
IMUN,Biostax Corp.,"ARIMA(4,1,1)",-614.96,-614.62,-593.69,0.01,0.09,-0.32,0,0.32,0.09,0.41,-0.23
INKW,"Greene Concepts, Inc","ARIMA(1,1,4)",-3340.91,-3340.57,-3319.64,0,0,0,0,0,0,0,0
INLB,Item 9 Labs Corp.,"ARIMA(5,1,0)",-1325.28,-1324.94,-1304.01,0,0.01,-0.09,0,0.09,0.01,0.1,-0.08
INND,"Innerscope Hearing Technologies, Inc.","ARIMA(4,2,1)",-3222.75,-3222.41,-3201.5,0,0,0,0,0,0,0,0
INQD,Indoor Harvest Corp,"ARIMA(0,1,0)",-3221.21,-3221.2,-3217.67,0,0,0,0,0,0,0,0
INTV,"Integrated Ventures, Inc.","ARIMA(5,1,0)",104.17,104.5,125.44,0.09,1.89,-1.83,0,1.83,1.89,3.72,0.06
INVO,"Invo Bioscience, Inc.","ARIMA(0,1,0) with drift",617.89,617.94,624.98,0.65,1.25,-5.87,-0.88,4.1,0.37,5.35,-4.62
IONI,I-On Digital Corp.,"ARIMA(2,1,3)",-1357.75,-1357.41,-1336.47,0,0.11,-0.09,0,0.09,0.11,0.19,0.02
IPCIF,Intellipharmaceutics International Inc.,"ARIMA(2,1,3)",-1696.44,-1696.1,-1675.17,0,0.05,-0.03,0,0.03,0.05,0.08,0.02
IPSI,"Innovative Payment Solutions, Inc.","ARIMA(0,1,5)",-1008.99,-1008.65,-987.71,0,0.34,-0.17,-0.03,0.1,0.31,0.45,0.18
IQST,Iqstel Inc,"ARIMA(0,1,0)",-1457.5,-1457.48,-1453.95,0,0.2,-0.09,0,0.09,0.2,0.28,0.11
ISCO,International Stem Cell Corp,"ARIMA(1,1,1) with drift",-1369.61,-1369.45,-1355.43,0,0.11,-0.05,0,0.05,0.11,0.17,0.06
ISPC,Ispecimen Inc.,"ARIMA(0,1,0)",-709.78,-709.76,-706.23,0,0.57,-0.37,0,0.37,0.57,0.94,0.2
ITMSF,Intermap Technologies Corp,"ARIMA(1,1,0)",-1231.79,-1231.75,-1224.7,0,0.38,-0.12,0,0.13,0.38,0.51,0.26
ITTOY,Itochu Techno-Solutions Corporation/Adr,"ARIMA(0,1,1)",41.43,41.48,48.52,0.07,14.24,-1.32,-0.01,1.3,14.23,15.54,12.92
IVDA,"Iveda Solutions, Inc.","ARIMA(0,1,3)",-533.25,-533.09,-519.07,0.01,0.68,-0.66,-0.01,0.65,0.67,1.33,0.02
IVDN,Innovative Designs Inc,"ARIMA(1,1,0)",-1246.17,-1246.12,-1239.08,0,0.18,-0.1,0,0.11,0.18,0.29,0.08
IVRN,"Innoveren Scientific, Inc.","ARIMA(0,1,0)",160.91,160.92,164.45,0.11,0,-2.05,0,2.05,0,2.05,-2.05
IWAL,Iwallet Corp,"ARIMA(0,1,5)",-2630.65,-2630.32,-2609.38,0,0.01,-0.01,0,0.01,0.01,0.01,0
IWSH,"Wright Investors Service Holdings, Inc.","ARIMA(3,1,0)",-1582.59,-1582.43,-1568.4,0,0.15,-0.04,0,0.04,0.15,0.19,0.1
JBSAY,Jbs S.A.,"ARIMA(0,1,1)",-69.27,-69.22,-62.18,0.04,7.92,-1.09,-0.02,1.06,7.9,8.98,6.83
JDCMF,"Jd.Com, Inc.","ARIMA(0,1,0)",590.89,590.9,594.43,0.58,13.13,-4.74,0,4.74,13.13,17.87,8.39
JFIL,"Jubilant Flame International, Ltd","ARIMA(3,1,0)",-2393.79,-2393.63,-2379.61,0,0.03,-0.01,0,0.01,0.03,0.04,0.01
JPPYY,Jupai Holdings Ltd,"ARIMA(0,1,4)",-1194.48,-1194.24,-1176.76,0,0.05,-0.05,0.01,0.08,0.07,0.13,0
JRONY,Jeronimo Martins Sgps Sa,"ARIMA(3,1,0)",616.95,617.11,631.13,0.64,46.27,-4.88,-0.01,4.86,46.26,51.13,41.39
JROOF,Jericho Energy Ventures Inc.,"ARIMA(1,1,4)",-1559.32,-1558.98,-1538.05,0,0.17,-0.05,0,0.04,0.17,0.21,0.12
JSCPY,Jsr Corp.,"ARIMA(1,1,1)",510.89,510.99,521.53,0.42,26.45,-2.88,0.01,2.9,26.47,29.36,23.58
JSHG,Joshua Gold Resources Inc,"ARIMA(1,1,2)",-2404.25,-2404.09,-2390.07,0,0.01,-0.01,0,0.01,0.01,0.02,0
KAYS,"Kaya Holdings, Inc.","ARIMA(1,1,1) with drift",-1910.28,-1910.12,-1896.1,0,0.04,-0.01,0,0.01,0.04,0.06,0.03
KBLB,"Kraig Biocraft Laboratories, Inc","ARIMA(4,1,1)",-2087.18,-2086.84,-2065.91,0,0.03,-0.01,0,0.01,0.03,0.04,0.02
KDOZF,Kidoz Inc.,"ARIMA(5,0,0) with non-zero mean",-733.46,-733.01,-708.61,0,0.28,-0.3,-0.07,0.16,0.21,0.44,-0.02
KITL,Kisses From Italy Inc.,"ARIMA(1,1,3)",-2166.36,-2166.12,-2148.64,0,0.01,-0.01,0,0.02,0.01,0.03,0
KNGRF,Kingsmen Resources Ltd.,"ARIMA(0,1,1)",-1424.24,-1424.2,-1417.15,0,0.12,-0.08,0,0.08,0.12,0.2,0.04
KPEA,Kun Peng International Ltd.,"ARIMA(0,1,2)",-1188.01,-1187.91,-1177.37,0,0.23,-0.07,0,0.06,0.22,0.29,0.16
KSSH,Kingfish Holding Corp,"ARIMA(0,1,0)",-3638.89,-3638.87,-3635.35,0,0,0,0,0,0,0,0
KTRA,"Kintara Therapeutics, Inc.","ARIMA(0,1,3)",421.33,421.49,435.51,0.3,0.76,-3.12,0.2,3.51,0.96,4.28,-2.36
LAAB,"Startech Labs, Inc.","ARIMA(4,1,1) with drift",-2076.84,-2076.39,-2052.03,0,0.01,-0.01,0,0.01,0.01,0.02,0
LBSR,Liberty Star Uranium & Metals Corp.,"ARIMA(2,1,2) with drift",-1688.02,-1687.69,-1666.75,0,0.04,-0.04,-0.01,0.03,0.03,0.07,0
LBTI,"Lithium & Boron Technology, Inc.","ARIMA(2,1,1) with drift",-595.39,-595.15,-577.67,0.01,0,-0.19,-0.02,0.14,-0.02,0.15,-0.19
LBWR,Labwire Inc,"ARIMA(5,1,0)",-2787.75,-2787.41,-2766.48,0,0.01,0,0,0,0.01,0.01,0.01
LCCTF,L'Occitane International S.A./Adr/,"ARIMA(3,1,2)",-428.05,-427.71,-406.78,0.01,2.57,-0.52,-0.02,0.48,2.55,3.05,2.05
LCGMF,Lion Copper & Gold Corp.,"ARIMA(0,1,1)",-2113.34,-2113.29,-2106.25,0,0.06,-0.02,0,0.01,0.06,0.08,0.05
LCLP,"Life Clips, Inc.","ARIMA(3,1,2)",-4185.03,-4184.7,-4163.76,0,0,0,0,0,0,0,0
LCTC,"Lifeloc Technologies, Inc","ARIMA(4,1,0)",-264.56,-264.32,-246.84,0.02,2.95,-0.7,-0.05,0.61,2.9,3.56,2.25
LEAI,"Legacy Education Alliance, Inc.","ARIMA(0,1,2)",-1595.01,-1594.91,-1584.37,0,0.17,-0.04,0,0.04,0.17,0.21,0.13
LEAT,Leatt Corp,"ARIMA(0,1,0)",324.25,324.27,327.79,0.21,11.5,-2.81,0,2.81,11.5,14.31,8.69
LEDS,Semileds Corp,"ARIMA(0,1,1)",-451.87,-451.83,-444.78,0.01,1.13,-0.5,0,0.49,1.13,1.62,0.63
LEGH,Legacy Housing Corp,"ARIMA(0,1,0)",332.2,332.22,335.75,0.21,18.51,-2.86,0,2.86,18.51,21.37,15.65
LFAP,"Lgbtq Loyalty Holdings, Inc.","ARIMA(4,1,1)",-4342.35,-4342.02,-4321.08,0,0,0,0,0,0,0,0
LFER,"Life On Earth, Inc.","ARIMA(3,1,2) with drift",-2876.76,-2876.31,-2851.94,0,0,0,0,0,0,0,0
LGIQ,"Logiq, Inc.","ARIMA(2,1,2)",-943.11,-942.87,-925.38,0,0.2,-0.15,0,0.15,0.2,0.35,0.05
LIFD,Lftd Partners Inc.,"ARIMA(1,1,0)",13.61,13.66,20.7,0.06,2,-1.47,0,1.47,2,3.47,0.53
LNDZF,Salona Global Medical Device Corp,"ARIMA(0,1,1)",-1269.71,-1269.66,-1262.62,0,0.16,-0.08,0,0.08,0.16,0.24,0.07
LNNGF,Li Ning Co. Ltd.,"ARIMA(1,1,2)",-64.92,-64.76,-50.74,0.04,3.05,-1.27,0.03,1.33,3.08,4.38,1.78
LNNGY,Li Ning Co. Ltd.,"ARIMA(0,2,4)",1602.85,1603.1,1620.56,30.31,76.89,-42.75,-10.9,20.95,65.99,97.84,34.13
LOMLF,Lion One Metals Ltd.,"ARIMA(1,0,0) with non-zero mean",-1174.15,-1174.05,-1163.5,0,0.62,-0.12,0,0.12,0.62,0.74,0.5
LONCF,Loncor Gold Inc.,"ARIMA(0,1,3)",-1571.17,-1571.01,-1556.99,0,0.27,-0.05,0,0.06,0.27,0.33,0.22
LRDC,"Laredo Oil, Inc.","ARIMA(3,1,2)",-1646.07,-1645.73,-1624.8,0,0.06,-0.04,0,0.05,0.06,0.11,0.02
LSMG,Lode-Star Mining Inc.,"ARIMA(1,0,0) with non-zero mean",-2079.14,-2079.04,-2068.49,0,0.02,-0.02,0,0.02,0.02,0.04,0
LTGHY,Life Healthcare Group Holdings Limited/Adr,"ARIMA(0,1,1)",-322.74,-322.7,-315.65,0.02,3.94,-0.6,-0.01,0.57,3.93,4.51,3.34
LTRPA,"Liberty Tripadvisor Holdings, Inc.","ARIMA(2,1,2) with drift",-807.49,-807.16,-786.22,0,0.18,-0.32,-0.04,0.25,0.14,0.43,-0.14
LTRPB,"Liberty Tripadvisor Holdings, Inc.","ARIMA(0,1,1)",1022.09,1022.14,1029.18,3.14,7.85,-9.88,0.02,9.91,7.87,17.76,-2.03
LTUM,Lithium Corp,"ARIMA(5,1,0)",-1810.23,-1809.89,-1788.96,0,0.06,-0.03,0,0.03,0.06,0.09,0.03
LUVU,"Luvu Brands, Inc.","ARIMA(0,1,2)",-1692.9,-1692.8,-1682.26,0,0.08,-0.03,0,0.04,0.09,0.12,0.05
LVRLF,Cordovacann Corp.,"ARIMA(0,1,1)",-1542.87,-1542.83,-1535.78,0,0.13,-0.05,0,0.05,0.13,0.18,0.08
LVVV,"Livewire Ergogenics, Inc.","ARIMA(0,1,1)",-3256.75,-3256.7,-3249.66,0,0,0,0,0,0,0.01,0
MAGE,Magellan Gold Corp,"ARIMA(1,1,1)",-1277.62,-1277.53,-1266.99,0,0.12,-0.06,0.01,0.08,0.13,0.2,0.06
MAPPF,Prostar Holdings Inc. /Bc,"ARIMA(1,1,2)",-1575.01,-1574.86,-1560.83,0,0.19,-0.04,0.01,0.05,0.2,0.25,0.15
MARK,"Remark Holdings, Inc.","ARIMA(0,1,0)",-462.48,-462.46,-458.93,0.01,0.43,-0.61,0,0.61,0.43,1.04,-0.18
MASN,"Maison Luxe, Inc.","ARIMA(2,1,1)",-3196.8,-3196.64,-3182.62,0,0,0,0,0,0,0,0
MAXD,Max Sound Corp,"ARIMA(4,1,0) with drift",-4705.67,-4705.34,-4684.4,0,0,0,0,0,0,0,0
MDWK,"Mdwerks, Inc.","ARIMA(1,1,2)",-1774.39,-1774.23,-1760.21,0,0.01,-0.02,0.01,0.04,0.02,0.05,-0.01
MEJHY,Meiji Holdings Co Ltd/Adr,"ARIMA(2,1,0)",-61.05,-60.95,-50.41,0.05,12.38,-1.1,0.01,1.13,12.39,13.51,11.28
MEOBF,Mesoblast Ltd,"ARIMA(0,1,0)",-919.57,-919.55,-916.02,0,0.23,-0.25,0,0.25,0.23,0.48,-0.02
MEXGF,Mexican Gold Mining Corp.,"ARIMA(0,1,5)",-1633.2,-1632.86,-1611.93,0,0.06,-0.04,0,0.04,0.06,0.1,0.02
MFON,Mobivity Holdings Corp.,"ARIMA(0,1,1)",-865.59,-865.55,-858.5,0,0.6,-0.23,0,0.23,0.6,0.83,0.37
MIGI,Mawson Infrastructure Group Inc.,"ARIMA(0,1,0)",-272.79,-272.77,-269.24,0.02,0.65,-0.88,0,0.88,0.65,1.53,-0.23
MIKP,"Mike The Pike Productions, Inc.","ARIMA(0,1,1)",-4173.81,-4173.76,-4166.72,0,0,0,0,0,0,0,0
MILC,Millennium Sustainable Ventures Corp.,"ARIMA(5,1,0) with drift",-1131.66,-1131.2,-1106.84,0,0,-0.12,-0.02,0.08,-0.02,0.08,-0.12
MINM,"Minim, Inc.","ARIMA(4,1,1)",199.42,199.76,220.69,0.12,0.86,-1.53,0.03,1.59,0.89,2.45,-0.67
MJDS,"Mojo Data Solutions, Inc.","ARIMA(0,1,0)",-1875.44,-1875.43,-1871.9,0,0.01,-0.04,0,0.04,0.01,0.04,-0.03
MJNE,"Mj Holdings, Inc.","ARIMA(3,1,0) with drift",-1753.67,-1753.43,-1735.95,0,0.02,-0.04,-0.01,0.02,0.01,0.04,-0.02
MLCT,"Malachite Innovations, Inc.","ARIMA(2,1,1)",-1416.23,-1416.07,-1402.05,0,0.17,-0.04,0,0.03,0.17,0.2,0.13
MLFB,Major League Football Inc,"ARIMA(0,1,0)",-4111.88,-4111.86,-4108.33,0,0,0,0,0,0,0,0
MLLOF,Medallion Resources Ltd,"ARIMA(0,1,2)",-2093.49,-2093.4,-2082.86,0,0.01,-0.02,0,0.02,0.01,0.02,-0.01
MLRT,"Metalert, Inc.","ARIMA(1,1,1)",-1083.62,-1083.53,-1072.99,0,0.09,-0.12,0,0.11,0.09,0.2,-0.03
MMAT,Meta Materials Inc.,"ARIMA(1,1,4)",-643.77,-643.44,-622.5,0,0.12,-0.41,-0.04,0.33,0.08,0.45,-0.29
MNGG,"Mining Global, Inc.","ARIMA(3,1,0) with drift",-4276.95,-4276.71,-4259.22,0,0,0,0,0,0,0,0
MNKTQ,Mallinckrodt Plc,"ARIMA(3,1,2) with drift",329.66,330.11,354.48,0.21,0.08,-2.41,-0.43,1.56,-0.34,1.64,-2.33
MNOV,Medicinova Inc,"ARIMA(2,1,3)",-689.17,-688.83,-667.9,0,1.91,-0.38,0,0.38,1.91,2.29,1.53
MNRLF,Mineral Mountain Resources Ltd.,"ARIMA(0,1,1)",-2013.12,-2013.07,-2006.03,0,0.03,-0.02,0,0.03,0.03,0.05,0.01
MNTR,"Mentor Capital, Inc.","ARIMA(3,1,2)",-1954.27,-1953.93,-1932.99,0,0.07,-0.02,0,0.02,0.07,0.09,0.05
MOCI,"Energy Holdings, Inc.","ARIMA(1,1,1)",-1578.86,-1578.77,-1568.23,0,0.03,-0.04,0,0.04,0.03,0.07,-0.01
MOJO,Equator Beverage Co,"ARIMA(0,1,5)",-1105.91,-1105.57,-1084.64,0,0.7,-0.17,-0.01,0.15,0.69,0.85,0.53
MRAAF,"Murata Manufacturing Co., Ltd./Adr","ARIMA(0,1,1)",248.85,248.9,255.94,0.15,18.2,-2.25,-0.3,1.65,17.9,19.85,15.95
MRAAY,"Murata Manufacturing Co., Ltd./Adr","ARIMA(1,1,0)",-254.28,-254.23,-247.19,0.02,8.7,-0.89,-0.01,0.86,8.69,9.56,7.81
MRIN,Marin Software Inc,"ARIMA(2,1,1) with drift",-974.25,-974.01,-956.52,0,0.34,-0.23,-0.03,0.16,0.3,0.5,0.11
MRMD,Marimed Inc.,"ARIMA(2,1,3)",-1380.8,-1380.47,-1359.53,0,0.33,-0.11,0,0.11,0.33,0.44,0.22
MRNJ,"Metatron Apps, Inc.","ARIMA(4,1,0)",-4395.5,-4395.26,-4377.78,0,0,0,0,0,0,0,0
MRRTY,Marfrig Global Foods S.A.,"ARIMA(0,1,1)",-742.72,-742.68,-735.63,0,1.19,-0.28,0,0.29,1.19,1.48,0.91
MRZM,"Marizyme, Inc.","ARIMA(0,2,4)",-619.35,-619.11,-601.65,0,0.19,-0.35,-0.02,0.31,0.17,0.5,-0.16
MSCLF,Satellos Bioscience Inc.,"ARIMA(5,1,0)",-939.12,-938.78,-917.85,0,0.26,-0.24,0,0.23,0.26,0.49,0.02
MSLPQ,Musclepharm Corp,"ARIMA(5,1,0)",-1503.56,-1503.22,-1482.29,0,0,-0.08,0,0.08,0,0.08,-0.08
MSPC,"Metrospaces, Inc.","ARIMA(5,1,0)",-4714.59,-4714.25,-4693.32,0,0,0,0,0,0,0,0
MSTO,Masterbeat Corp,"ARIMA(2,1,1)",-4340.43,-4340.27,-4326.25,0,0,0,0,0,0,0,0
MTLHF,Mitsubishi Chemical Holdings Corp,"ARIMA(0,1,0)",-521.63,-521.62,-518.09,0.01,5.55,-0.54,0,0.54,5.55,6.09,5.01
MTLHY,Mitsubishi Chemical Holdings Corp,"ARIMA(0,1,0)",409.9,409.91,413.44,0.29,28.45,-3.33,0,3.33,28.45,31.78,25.12
MULN,Mullen Automotive Inc.,"ARIMA(4,1,1)",265.02,265.36,286.29,0.16,0.27,-3.34,0.01,3.37,0.28,3.63,-3.07
MVNC,Marvion Inc.,"ARIMA(4,1,0) with drift",-3745.33,-3745,-3724.06,0,0,0,0,0,0,0,0
MWRK,"Metaworks Platforms, Inc.","ARIMA(0,1,5)",-1738.68,-1738.34,-1717.41,0,0.03,-0.03,0,0.04,0.03,0.07,0
MXCHF,"Orbia Advance Corporation, S.A.B. De C.V./Adr","ARIMA(0,1,0)",-849.29,-849.27,-845.74,0,1.6,-0.28,0,0.28,1.6,1.88,1.32
MXSG,Mexus Gold Us,"ARIMA(4,1,0)",-4041.88,-4041.64,-4024.15,0,0,0,0,0,0,0,0
MYHI,Mountain High Acquisitions Corp.,"ARIMA(0,1,1)",-4846.47,-4846.42,-4839.38,0,0,0,0,0,0,0,0
MYMD,"Mymd Pharmaceuticals, Inc.","ARIMA(3,1,0)",-338.84,-338.68,-324.66,0.02,0.43,-0.77,0,0.77,0.42,1.19,-0.35
MZHOF,Mizuho Financial Group Inc,"ARIMA(0,1,0)",81.4,81.41,84.94,0.08,16.73,-1.75,0,1.75,16.73,18.48,14.98
NAFS,"North America Frac Sand, Inc.","ARIMA(4,1,1) with drift",-3532.6,-3532.15,-3507.79,0,0,0,0,0,0,0,0
NAHD,"New Asia Holdings, Inc.","ARIMA(1,0,1) with non-zero mean",-710.59,-710.43,-696.39,0,0.15,-0.28,0.04,0.36,0.19,0.51,-0.13
NAOV,"Nanovibronix, Inc.","ARIMA(0,1,2) with drift",421.76,421.92,435.94,0.3,0.82,-2.25,-0.31,1.63,0.51,2.45,-1.43
NASO,"Naples Soap Company, Inc.","ARIMA(1,1,0)",-1218.1,-1218.05,-1211.01,0,0.03,-0.11,0,0.11,0.03,0.14,-0.08
NBCO,"Neon Bloom, Inc.","ARIMA(1,1,1)",-1430.11,-1430.01,-1419.47,0,0.1,-0.06,0,0.06,0.1,0.16,0.04
NBIO,Nascent Biotech Inc.,"ARIMA(1,1,4)",-1405.65,-1405.31,-1384.37,0,0.15,-0.06,0,0.06,0.15,0.2,0.09
NBRWF,Nabors Industries Ltd,"ARIMA(5,1,0)",976.61,976.95,997.88,2.58,15.01,-9.14,-1.03,7.08,13.98,22.09,5.87
NCPL,Netcapital Inc.,"ARIMA(0,1,4)",-363.9,-363.66,-346.17,0.01,0.4,-0.42,0.01,0.45,0.42,0.85,-0.02
